config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
21,"(512, 256, 128)",0.4,0.002,128,0.7533357823699547,0.7078280044101434,0.6791255289139634,0.6931797732589527,0.7522514145955852,0.387173894703767,0.06041960234489338
22,"(1024, 512)",0.2,0.002,256,0.7550750035077041,0.6943928704047531,0.659379407616361,0.6764333514197866,0.7324784046874279,0.35723847253409835,0.022603233071879066
23,"(1024, 512, 256)",0.5,0.002,128,0.7628635079830456,0.7035120147874306,0.671015514809591,0.6868796246164952,0.7490463401588643,0.3765449131214799,0.0637067434642418
24,"(512, 256, 128)",0.5,0.002,512,0.7549053540038986,0.6980007015082427,0.7016925246826516,0.6998417443291718,0.7553786346079252,0.3855450832676469,0.07721898901988478
25,"(512, 256)",0.2,0.0001,512,0.7610308846815891,0.6750317662007624,0.7492947813822285,0.7102272727272728,0.7511663684255029,0.376855662026506,0.062064832770356945
26,"(1024, 512)",0.5,0.0005,128,0.764645383567,0.7078610603290676,0.6826516220028209,0.6950278226530247,0.7564952772900824,0.3891947140532139,0.04164833554043722
27,"(1024, 512)",0.3,0.002,256,0.7578475629532809,0.699398043641836,0.6555007052186178,0.6767382599199127,0.7373159175872902,0.3623458783472369,0.030073571876792486
28,"(1024, 512)",0.4,0.002,512,0.7588023659671774,0.6968616262482168,0.6889985895627645,0.6929078014184398,0.7442742436605921,0.37677965201340924,0.03872776535504004
29,"(1024, 512, 256)",0.4,0.002,512,0.7543894111542135,0.6850017082336863,0.7069816643159379,0.6958181502689571,0.7420462906726845,0.36882810981383785,0.036485504915974305
30,"(512, 256, 128)",0.2,0.002,512,0.7460666525015531,0.6584385763490241,0.808885754583921,0.7259493670886076,0.7418436893374689,0.38434155035541107,0.02718752239118604
31,"(512, 256)",0.2,0.001,512,0.7465471011432708,0.6992426974395961,0.6837094499294781,0.6913888393653058,0.7447140361033728,0.3773526577598305,0.026081695084405297
32,"(512, 256, 128)",0.3,0.001,128,0.7573352403278453,0.6975177304964539,0.6935825105782792,0.6955445544554455,0.7528541422985238,0.3802868621397841,0.03825307389790261
33,"(1024, 512)",0.2,0.001,128,0.7567716187002248,0.6954967834167263,0.6861777150916785,0.6908058217962372,0.7422863517564597,0.37321865771657925,0.02283444182349392
34,"(512, 256)",0.3,0.002,512,0.756081878124509,0.6924466931694977,0.6755994358251057,0.6839193289309298,0.7421962774266762,0.36300513418252567,0.038698362350902134
35,"(256, 128)",0.2,0.0001,256,0.7638665373416891,0.7141203703703703,0.6526798307475318,0.6820191599115697,0.7544315313440518,0.3813435297773098,0.11209439581691338
36,"(1024, 512, 256)",0.2,0.0001,512,0.7466266313089511,0.6804878048780488,0.6886459802538787,0.6845425867507886,0.7322801764771043,0.35199898112715555,0.014688181330212484
37,"(256, 128)",0.5,0.0005,256,0.7583476307661897,0.6949210706932052,0.714033850493653,0.7043478260869566,0.7505111317592825,0.38793007667731694,0.09179864710040868
38,"(1024, 512)",0.4,0.002,256,0.760312649307276,0.7155172413793104,0.6145980253878702,0.6612291350531109,0.7426963105736551,0.36280610794357776,0.038142108775932215
39,"(1024, 512, 256)",0.4,0.001,512,0.7588070690519851,0.6878808395396073,0.7165021156558533,0.7018998272884284,0.7427746011106497,0.3785737001341862,0.032920026028638374
