config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
11,"(1024, 512, 256)",0.5,0.001,512,0.7397334027993312,0.6105556847244826,0.7116531165311654,0.6572393943186084,0.6761890339711405,0.3677143997958548,0.049087939652062096
12,"(512, 256, 128)",0.5,0.001,256,0.7436156518693997,0.6102424654430093,0.729810298102981,0.6646920893496235,0.6802352322872846,0.37675395941097534,0.07974096015095711
13,"(256, 128)",0.3,0.002,256,0.7392301780678736,0.5682191780821918,0.843089430894309,0.6788870703764321,0.6786313407951602,0.37331292111767567,0.06722899118231403
14,"(1024, 512)",0.2,0.001,256,0.7428358231664296,0.6143021914648212,0.721680216802168,0.6636760124610592,0.6880840747903907,0.37824806932049004,0.022634470236177245
15,"(512, 256, 128)",0.3,0.0001,128,0.7419852843447892,0.607427660059239,0.7224932249322493,0.6599826711226637,0.6796493444548072,0.3688626275438564,0.03788950681479441
16,"(256, 128)",0.2,0.001,512,0.7400190461820841,0.6084810410590084,0.734959349593496,0.6657665398306125,0.6830151312963452,0.3769401915055189,0.03716961368588747
17,"(256, 128)",0.2,0.001,256,0.7414163127500495,0.6149438459775384,0.72710027100271,0.6663355271327456,0.6840359682317377,0.3820285570892432,0.03557062460730473
18,"(256, 128)",0.3,0.002,512,0.7381753726774746,0.5737797956867197,0.8219512195121951,0.6758021390374332,0.6812458157099464,0.3704082029936773,0.06193367632485069
19,"(512, 256)",0.2,0.001,256,0.745386577071945,0.6166081871345029,0.7143631436314363,0.661895794099184,0.6889420684529978,0.3776409126822437,0.029502140674740076
20,"(512, 256)",0.2,0.002,512,0.747028086351466,0.5999146029035013,0.7615176151761518,0.6711249104370671,0.6890346136880257,0.3785233811977703,0.029349154652615565
21,"(512, 256, 128)",0.4,0.002,128,0.7398421017507305,0.6188058979937152,0.6937669376693767,0.6541459051999489,0.6816975109136628,0.36999545298364866,0.0732593382957081
22,"(1024, 512)",0.2,0.002,256,0.7427718877266151,0.6167099362756667,0.708130081300813,0.6592658004289138,0.6882585162271273,0.37452587362888906,0.02609451862362524
23,"(1024, 512, 256)",0.5,0.002,128,0.7421492611391929,0.6276699029126214,0.7008130081300813,0.6622279129321382,0.6800583485561537,0.38568513697652757,0.0788985270034108
