config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
13,"(256, 128)",0.3,0.002,256,0.9775169177751908,0.9534090909090909,0.9755813953488373,0.964367816091954,0.9750753382859091,0.9271958925117398,0.0036901012431674947
14,"(1024, 512)",0.2,0.001,256,0.9788219178564288,0.9473684210526315,0.9837209302325581,0.9652025099828864,0.975961285678105,0.9288053258007701,0.0005320382180798334
15,"(512, 256, 128)",0.3,0.0001,128,0.9760209728353398,0.9588100686498856,0.9744186046511628,0.9665513264129182,0.975703890796388,0.9317850514795508,0.003630545856625152
16,"(256, 128)",0.2,0.001,512,0.9745634202349759,0.955952380952381,0.9337209302325581,0.9447058823529412,0.9737607816113962,0.8895434997181287,0.002648756007977721
17,"(256, 128)",0.2,0.001,256,0.9770954794897269,0.9518348623853211,0.9651162790697675,0.9584295612009238,0.9713816826176466,0.9152560618721863,0.0009733130091464975
18,"(256, 128)",0.3,0.002,512,0.9759727089586562,0.9555302166476625,0.9744186046511628,0.9648819804260218,0.9719053549536796,0.9283063278518072,0.001168988811474739
19,"(512, 256)",0.2,0.001,256,0.9741106776351897,0.9524348810872028,0.977906976744186,0.9650028686173264,0.9731852575951234,0.9284545816143603,0.0005114013028408711
20,"(512, 256)",0.2,0.002,512,0.9722537373600763,0.9502262443438914,0.9767441860465116,0.963302752293578,0.9693532731349845,0.9249469478815081,0.0006623881740581609
21,"(512, 256, 128)",0.4,0.002,128,0.9781993028463564,0.9584775086505191,0.9662790697674418,0.9623624782860452,0.9653869461788439,0.9234497096449165,0.00859006313346779
22,"(1024, 512)",0.2,0.002,256,0.9759606264868671,0.9530355097365406,0.9674418604651163,0.9601846508944027,0.9706830792737804,0.9188059351627423,0.006660272973305029
23,"(1024, 512, 256)",0.5,0.002,128,0.9756213057385177,0.9551569506726457,0.9906976744186047,0.9726027397260273,0.9736459982423032,0.9440975048421107,0.009913281666255595
24,"(512, 256, 128)",0.5,0.002,512,0.9777420991881128,0.9603174603174603,0.9848837209302326,0.9724454649827785,0.9726317298719764,0.9437516363401826,0.00646127877584861
25,"(512, 256)",0.2,0.0001,512,0.9736255722858761,0.9564719358533792,0.9709302325581395,0.9636468551644547,0.9747132670081342,0.9258764918669931,0.033640827821648636
26,"(1024, 512)",0.5,0.0005,128,0.9777926531344341,0.95,0.9941860465116279,0.9715909090909091,0.9761974394811497,0.9421091498206758,0.0018252827638611457
27,"(1024, 512)",0.3,0.002,256,0.9763799991668171,0.952914798206278,0.9883720930232558,0.9703196347031964,0.9752613125626343,0.9393796290983473,0.0008258805830943553
28,"(1024, 512)",0.4,0.002,512,0.9740101147430134,0.9497206703910615,0.9883720930232558,0.9686609686609686,0.9642795608721918,0.9359691906061377,0.0011654795930751236
29,"(1024, 512, 256)",0.4,0.002,512,0.973891595972709,0.9555808656036446,0.9755813953488373,0.9654775604142692,0.9641375717440908,0.9295064466048724,0.005566072910922863
30,"(512, 256, 128)",0.2,0.002,512,0.9748668702665585,0.9505061867266592,0.9825581395348837,0.9662664379645511,0.9706901829871725,0.9310079841218656,0.004469680582152922
31,"(512, 256)",0.2,0.001,512,0.9704287355380549,0.9468208092485549,0.9523255813953488,0.9495652173913043,0.9756364657613316,0.8975170467309217,0.001136634687376816
32,"(512, 256, 128)",0.3,0.001,128,0.9821926191516781,0.95,0.9941860465116279,0.9715909090909091,0.978983470660989,0.9421091498206758,0.006915856072413994
33,"(1024, 512)",0.2,0.001,128,0.9787901765088796,0.9372246696035242,0.9895348837209302,0.9626696832579186,0.9724058322278362,0.9236715061426464,0.00035939770589518753
34,"(512, 256)",0.3,0.002,512,0.9719977211699906,0.9523269012485811,0.9755813953488373,0.9638139000574382,0.9719753856808843,0.9260424032827728,0.0014828369489607765
35,"(256, 128)",0.2,0.0001,256,0.973326928855254,0.9559322033898305,0.9837209302325581,0.9696275071633238,0.9752923529918515,0.9379464788055366,0.030470250091618963
36,"(1024, 512, 256)",0.2,0.0001,512,0.9726864661376097,0.956221198156682,0.9651162790697675,0.9606481481481481,0.9759283934274006,0.9199234056734827,0.003099082432606298
37,"(256, 128)",0.5,0.0005,256,0.9726420181230471,0.9571589627959414,0.9872093023255814,0.9719519175729822,0.9730505639513476,0.9427289527504271,0.003676531575102773
38,"(1024, 512)",0.4,0.002,256,0.9775960085173752,0.9540358744394619,0.9895348837209302,0.9714611872146119,0.9707420143535923,0.9417385669702291,0.011302911415178743
39,"(1024, 512, 256)",0.4,0.001,512,0.9765228312927213,0.9494949494949495,0.9837209302325581,0.9663049685893775,0.9687643731674939,0.9310835899586943,0.013181821989786366
40,"(512, 256)",0.5,0.0005,128,0.9773451345810437,0.9603624009060022,0.986046511627907,0.9730349971313826,0.9809984988850424,0.9449591942105159,0.002163498450762644
41,"(1024, 512, 256)",0.3,0.0001,256,0.9747463341982356,0.9568181818181818,0.9790697674418605,0.967816091954023,0.9760235058318557,0.9342683397753143,0.002965519773877329
42,"(256, 128)",0.5,0.0005,128,0.9769240615798649,0.9550561797752809,0.9883720930232558,0.9714285714285714,0.9739909783350618,0.9416591164138884,0.0024175502687285187
43,"(1024, 512, 256)",0.4,0.0005,256,0.9748056948567664,0.9543899657924744,0.9732558139534884,0.9637305699481865,0.9697305664646448,0.9259491352154653,0.003959174834825616
44,"(1024, 512, 256)",0.2,0.0005,128,0.9714862108589655,0.9366120218579235,0.9965116279069768,0.9656338028169014,0.9734425643396162,0.9300358725968197,0.00027028711853947443
45,"(512, 256)",0.5,0.0001,512,0.9750918491194689,0.9556818181818182,0.977906976744186,0.9666666666666667,0.9755052603808179,0.9319108573541228,0.06058270791950433
46,"(1024, 512, 256)",0.5,0.0001,512,0.9768663564681452,0.9567198177676538,0.9767441860465116,0.9666283084004603,0.9742679293655987,0.9318637325500932,0.009694406904442154
47,"(1024, 512, 256)",0.4,0.0005,512,0.9764068064498947,0.956964892412231,0.9825581395348837,0.9695926563396443,0.9716810621000952,0.9378857888121634,0.0015203564645439062
48,"(512, 256, 128)",0.2,0.0001,256,0.9742314896627212,0.9555302166476625,0.9744186046511628,0.9648819804260218,0.9781384619260821,0.9283063278518072,0.0035669995911626353
49,"(256, 128)",0.4,0.0001,128,0.9742636885893223,0.9592298980747452,0.9848837209302326,0.9718875502008033,0.9778197446161064,0.9426013924110651,0.014708897062680788
50,"(512, 256)",0.5,0.001,256,0.9727584599152354,0.957351290684624,0.9918604651162791,0.9743003997715591,0.9714951262563964,0.9475951790275897,0.0013250382196727311
51,"(512, 256)",0.5,0.0005,256,0.9734534287479256,0.9404630650496141,0.9918604651162791,0.9654782116581777,0.9738531059607214,0.9295150525362171,0.001127158744364149
52,"(1024, 512, 256)",0.4,0.0001,256,0.9757608820184291,0.9448123620309051,0.9953488372093023,0.9694224235560589,0.9729710305216611,0.9377201937440596,0.003675473350772841
53,"(512, 256)",0.3,0.001,256,0.9750382235725731,0.9485458612975392,0.986046511627907,0.966932725199544,0.9719816086588629,0.9323863835300273,0.0005668582165122239
54,"(256, 128)",0.2,0.002,512,0.9773538563606171,0.9570267131242741,0.958139534883721,0.957582800697269,0.9721514715919534,0.9140013752285056,0.0010917290814889027
55,"(512, 256, 128)",0.3,0.002,128,0.9769544693275491,0.9587750294464076,0.9465116279069767,0.9526038619075482,0.9687353511845714,0.9046695756616466,0.004978213637625433
56,"(512, 256, 128)",0.5,0.0005,512,0.9731622498846174,0.9584775086505191,0.9662790697674418,0.9623624782860452,0.971377612462036,0.9234497096449165,0.0031786492428458905
57,"(256, 128)",0.4,0.001,256,0.9732653682232394,0.9590443686006825,0.9802325581395349,0.9695227142035652,0.9788974016741123,0.9377801022772958,0.002872512308466766
58,"(512, 256, 128)",0.2,0.0001,128,0.9760933669794698,0.9575200918484501,0.9697674418604652,0.9636048526863085,0.9757032628122114,0.9258478972066748,0.0032464944084899293
59,"(256, 128)",0.3,0.001,512,0.9731861123847559,0.9531428571428572,0.9697674418604652,0.9613832853025936,0.9755346009759817,0.9211962052253907,0.0022698403412030766
60,"(512, 256, 128)",0.5,0.002,128,0.9768991174852814,0.9456762749445676,0.9918604651162791,0.9682179341657208,0.9695361548469162,0.9351334760324121,0.007957256740094938
61,"(512, 256)",0.4,0.0005,128,0.9753728327430267,0.9613196814562003,0.9825581395348837,0.9718228867165036,0.9784486718759331,0.9424948673568306,0.0007938092129026902
62,"(1024, 512)",0.3,0.0005,256,0.9751083273254005,0.9446290143964563,0.9918604651162791,0.9676687464549064,0.9757528760144109,0.9340075255780165,0.000775503543263767
63,"(1024, 512)",0.3,0.0001,512,0.9729175936288107,0.9545970488081725,0.977906976744186,0.9661114302125214,0.977129427505418,0.9307575744642618,0.011497728688561398
