config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,final_train_loss
0,"(256, 128)",0.2,0.0001,128,0.4657745658379411,0.4553941908713693,0.4295499021526419,0.4420946626384693,0.4515458718613049,0.04983550041709861
1,"(256, 128)",0.2,0.0001,256,0.4659997765595847,0.42544229149115415,0.49412915851272016,0.457220461747397,0.45753991898575075,0.14142780071073544
2,"(256, 128)",0.2,0.0001,512,0.4497809709347178,0.39846475924633634,0.5587084148727984,0.46517311608961304,0.4482363587552082,0.40730138965274976
3,"(256, 128)",0.2,0.0005,128,0.46362994370527083,0.3826086956521739,0.5596868884540117,0.45450933651172026,0.4438567571518788,0.03340448193979284
4,"(256, 128)",0.2,0.0005,256,0.465132909118962,0.4258734655335222,0.44129158512720157,0.4334454589139836,0.43570647526664247,0.031193669241613865
5,"(256, 128)",0.2,0.0005,512,0.4622848051600854,0.4220890410958904,0.48238747553816047,0.4502283105022831,0.44814529177193624,0.0317503510184748
6,"(256, 128)",0.2,0.001,128,0.4606542091260747,0.3605847319978343,0.6516634050880626,0.4642732659463228,0.44560157254301674,0.05560304401569987
7,"(256, 128)",0.2,0.001,256,0.47130870768800714,0.38819444444444445,0.5469667318982387,0.45410235580828595,0.44983071226681437,0.05019343390429769
8,"(256, 128)",0.2,0.001,512,0.46472011897174126,0.45584988962472406,0.4041095890410959,0.4284232365145228,0.4305117357713017,0.03891431956815169
9,"(256, 128)",0.2,0.002,128,0.45713082604198296,0.3633369923161361,0.6477495107632094,0.46554149085794655,0.4388905619670495,0.09385907817376803
10,"(256, 128)",0.2,0.002,256,0.45769998650987775,0.37271619975639464,0.598825831702544,0.45945945945945943,0.44464726982765385,0.0649968916194035
11,"(256, 128)",0.2,0.002,512,0.4637198230487044,0.34216216216216216,0.6193737769080235,0.440807799442897,0.41931004226066154,0.05524757652260039
12,"(256, 128)",0.3,0.0001,128,0.472190464086765,0.46120218579234973,0.41291585127201563,0.4357253484770263,0.44605078601961834,0.08597414443550044
13,"(256, 128)",0.3,0.0001,256,0.467327531863991,0.42749371332774516,0.49902152641878667,0.4604966139954853,0.4612073474948692,0.20815593541645613
14,"(256, 128)",0.3,0.0001,512,0.4480719588206563,0.3978275627970129,0.5733855185909981,0.46973947895791585,0.4590630892234718,0.46783782217813574
15,"(256, 128)",0.3,0.0005,128,0.4698858096729873,0.3635272945410918,0.5929549902152642,0.4507251766455932,0.43482354333823103,0.05612707309654518
16,"(256, 128)",0.3,0.0005,256,0.47091997047968526,0.4117647058823529,0.541095890410959,0.46765327695560255,0.438451117642199,0.04904824202941334
17,"(256, 128)",0.3,0.0005,512,0.4671756421422477,0.4612868047982552,0.41389432485322897,0.4363073749355338,0.43452831225349675,0.04866283222951967
18,"(256, 128)",0.3,0.001,128,0.46177606978497737,0.378,0.5547945205479452,0.44964314036478986,0.4299160867763706,0.07989542287557501
19,"(256, 128)",0.3,0.001,256,0.467686957390913,0.43054187192118226,0.42759295499021527,0.42906234658811976,0.4398865932915619,0.06751159643703471
20,"(256, 128)",0.3,0.001,512,0.46171722943733573,0.46853146853146854,0.3933463796477495,0.4276595744680851,0.42692238228279294,0.05745865433962773
21,"(256, 128)",0.3,0.002,128,0.4590127684790715,0.4432624113475177,0.3669275929549902,0.40149892933618847,0.41728109910135747,0.1390299372732231
