config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
0,"(1024, 512)",0.3,0.001,256,0.47711433529560665,0.3554025423728814,0.6565557729941291,0.46116838487972506,0.44555078079030563,0.32724392277986386,0.025636030305075188
1,"(256, 128)",0.4,0.0005,256,0.4743020417895266,0.41509433962264153,0.5166340508806262,0.46033129904097647,0.44890465083766273,0.33271714496694205,0.07535307761790648
2,"(256, 128)",0.2,0.001,128,0.4606542091260747,0.3605847319978343,0.6516634050880626,0.4642732659463228,0.44560157254301674,0.3312840403978338,0.05560304401569987
3,"(1024, 512)",0.5,0.002,128,0.47450820153387385,0.5262172284644194,0.27495107632093935,0.36118251928020567,0.43801663554197495,0.29278705046073233,0.11043169434399229
4,"(512, 256)",0.3,0.002,256,0.46560110680723404,0.4483204134366925,0.3395303326810176,0.38641425389755013,0.4016869021465891,0.28059063002083057,0.05614919328420866
5,"(512, 256)",0.3,0.0001,512,0.4715355882156906,0.48423423423423423,0.4207436399217221,0.450261780104712,0.46125648549501386,0.3440626566281461,0.12427792082662167
6,"(512, 256)",0.2,0.002,128,0.4738178263525894,0.31681877444589307,0.713307240704501,0.43876015648510375,0.443417165799921,0.2998754743373792,0.046433734690949115
7,"(256, 128)",0.4,0.002,512,0.4694817162322348,0.34321608040201007,0.6682974559686888,0.45351925630810097,0.4540349102681623,0.3173226645569657,0.11128457075835246
8,"(1024, 512)",0.5,0.001,512,0.48749686957531624,0.4873096446700508,0.37573385518590996,0.4243093922651934,0.45959304458548383,0.32406998224199757,0.04785211036568913
9,"(256, 128)",0.4,0.0001,512,0.443130557735882,0.38892425206874603,0.5978473581213307,0.4712688006170459,0.45824116500203166,0.3407305638412393,0.5415646135807037
10,"(1024, 512)",0.4,0.0005,512,0.48527251875333166,0.4710648148148148,0.39823874755381605,0.43160127253446445,0.4551507752217806,0.3241027720184824,0.025650093787471236
11,"(1024, 512, 256)",0.5,0.001,512,0.47550343753211444,0.48005908419497784,0.31800391389432486,0.3825779870512066,0.4263470583104798,0.29020114708862915,0.06242454949887875
12,"(512, 256, 128)",0.5,0.001,256,0.4705003019063237,0.44279176201373,0.3786692759295499,0.4082278481012659,0.43644231919424337,0.2950594922033846,0.11656696883747812
13,"(256, 128)",0.3,0.002,256,0.4757909868761098,0.42819614711033277,0.47847358121330724,0.4519408502772643,0.4448780544744008,0.3278577698724066,0.09741657167225262
14,"(1024, 512)",0.2,0.001,256,0.47703962056749605,0.34463840399002493,0.6761252446183953,0.4565576478361414,0.4436167752663665,0.3218539816102076,0.024177197755640117
15,"(512, 256, 128)",0.3,0.0001,128,0.46875625389957964,0.4326450344149459,0.43052837573385516,0.43158410985777335,0.429981364347057,0.31071870408844376,0.03474855114457083
16,"(256, 128)",0.2,0.001,512,0.46472011897174126,0.45584988962472406,0.4041095890410959,0.4284232365145228,0.4305117357713017,0.31612976963358363,0.03891431956815169
